date,close,hv_30d,hv_percentile,iv_30d,iv_expiration
2026-07-13 00:00:00,553.61,77.58,98.1,63.44,2026-08-14
2026-07-15,555.27,78.21,99.7,60.2,2026-08-21
2026-07-17,521.81,77.1,97.0,64.38,2026-08-21
2026-07-20,524.14,77.0,96.7,64.98,2026-08-21
2026-07-22,555.52,69.92,87.7,63.0,2026-08-28
2026-07-24,527.01,70.18,87.7,63.1,2026-08-28
2026-07-27,516.23,65.98,84.4,62.21,2026-08-28
2026-07-29,465.0,65.94,83.8,64.55,2026-09-04
2026-07-31,504.89,69.01,85.8,56.55,2026-09-04
2026-08-03,507.68,65.87,83.0,59.2,2026-09-04
2026-08-05,530.7,65.01,82.2,55.01,2026-09-11
2026-08-07,543.27,64.2,81.6,50.91,2026-09-11
2026-08-10,529.39,62.53,80.8,50.57,2026-09-11
2026-08-12,546.61,60.23,80.0,46.08,2026-09-18
2026-08-14,550.42,55.11,78.4,42.61,2026-09-18
2026-08-17,559.12,54.73,78.1,43.9,2026-09-18
2026-08-19,519.67,54.58,77.5,45.25,2026-09-25
2026-08-21,520.05,53.5,77.0,42.78,2026-09-25
2026-08-24,506.18,52.26,76.4,43.74,2026-09-25
2026-08-27,515.4,51.56,75.6,45.19,2026-10-02
2026-08-29,508.62,50.91,75.1,40.16,2026-10-02
2026-09-01,511.04,50.92,75.1,40.9,2026-10-02
2026-09-02,501.44,48.55,74.0,39.89,2026-10-09
2026-09-04,519.86,48.06,73.4,40.71,2026-10-09
2026-09-07,519.86,48.06,73.4,42.52,2026-10-09
2026-09-09,532.0,45.52,71.2,39.58,2026-10-16
